page,index,repo,owner,name,type,authors,commits,pulls,issues,comments,reviews
1,67,JorisvanW/medialibrary,jorisvanw,medialibrary,User,3,330,11,1,1,2
1,68,mojoblanco/my-fav-laravel-packages,mojoblanco,my-fav-laravel-packages,User,1,14,0,0,0,0
1,69,czim/laravel-listify,czim,laravel-listify,User,1,58,0,1,0,0
1,70,eliurkis/crud,eliurkis,crud,User,1,111,18,0,0,0
1,71,alexsoft/Laravel-Socialite-Bitbucket,alexsoft,laravel-socialite-bitbucket,User,1,22,1,0,0,0
1,72,Litecms/Blog,litecms,blog,Organization,5,44,16,1,0,0
1,73,CupOfTea696/PrioritizeRoutes,cupoftea696,prioritizeroutes,User,1,13,2,0,0,0
1,74,rtamizh/realtime-push,rtamizh,realtime-push,User,1,18,0,0,0,0
1,75,tequilarapido/api-response,tequilarapido,api-response,Organization,2,50,14,0,2,0
1,76,GeekGhc/ISpace,geekghc,ispace,User,2,75,0,1,1,0
1,77,Sheikh-Alvee/laravel-worldpay,sheikh-alvee,laravel-worldpay,User,4,10,0,3,2,0
1,78,josh-taylor/migrations-generator,josh-taylor,migrations-generator,User,2,23,0,3,0,0
1,79,sebdesign/laravel-elixir-sri,sebdesign,laravel-elixir-sri,User,2,6,1,0,1,0
1,80,yokesharun/ping-on-terminal,yokesharun,ping-on-terminal,User,1,15,1,0,0,0
1,81,lartie/Airports,lartie,airports,User,1,16,0,0,0,0
1,82,lartie/FlightStatsApi,lartie,flightstatsapi,User,2,24,0,1,2,0
1,83,SanUSB-grupo/wireless-monitor,sanusb-grupo,wireless-monitor,Organization,4,127,62,46,5,0
1,84,Cyber-Duck/Laravel-Alternative-Mailer,cyber-duck,laravel-alternative-mailer,Organization,1,30,0,0,0,0
1,85,eXolnet/laravel-instruments,exolnet,laravel-instruments,Organization,2,62,6,0,0,0
1,86,taylornetwork/name-formatter,taylornetwork,name-formatter,Organization,1,20,2,0,0,0
1,87,lartie/Laravel-Botan,lartie,laravel-botan,User,1,3,0,0,0,0
1,88,padosoft/laravel-support,padosoft,laravel-support,Organization,3,9,5,1,1,0
1,89,ryanwinchester/laravel-paginates,ryanwinchester,laravel-paginates,User,1,19,0,0,0,0
1,90,ForestAdmin/forest-laravel,forestadmin,forest-laravel,Organization,27,171,46,31,130,32
1,91,padosoft/laravel-request,padosoft,laravel-request,Organization,1,22,0,0,0,0
1,92,codedge/laravel-sofortlib,codedge,laravel-sofortlib,User,3,75,42,1,20,0
1,93,GeniusTS/preferences,geniusts,preferences,Organization,4,93,3,2,4,0
1,94,ricoa/laravel-auth,ricoa,laravel-auth,User,3,40,2,0,0,0
1,95,cevv13/form-ajax-submit,cevv13,form-ajax-submit,User,2,15,0,1,0,0
1,96,heshanh/gofax,heshanh,gofax,User,1,6,0,0,0,0
1,97,skybluesofa/laravel-microblog,skybluesofa,laravel-microblog,User,1,23,0,0,0,0
1,98,lartie/AttachSocialAccount,lartie,attachsocialaccount,User,1,15,0,0,0,0
1,99,ramadani/catagger,ramadani,catagger,User,1,13,0,0,0,0
2,0,CupOfTea696/Counter,cupoftea696,counter,User,1,31,1,0,0,0
2,1,padosoft/laravel-test,padosoft,laravel-test,Organization,2,30,0,0,0,0
2,2,laravel-notification-channels/vwo-engage,laravel-notification-channels,vwo-engage,Organization,5,27,2,5,17,0
2,3,akmuhammet/activitylog,akmuhammet,activitylog,User,1,18,0,0,0,0
2,4,appoets/default-installer,appoets,default-installer,Organization,1,15,1,0,0,0
2,5,InvertedX/routetraffic-laravel-route-lising,invertedx,routetraffic-laravel-route-lising,User,1,7,0,0,0,0
2,6,josh-taylor/simple-sitemap,josh-taylor,simple-sitemap,User,0,1,0,0,0,0
2,7,mul14/lang-detector,mul14,lang-detector,User,1,1,0,0,0,0
