repo_name,act_type,isbot,date_month,activity
achubaty/grainscape,CODE,0,2011-09,1
achubaty/grainscape,CODE,0,2012-03,2
achubaty/grainscape,CODE,0,2012-04,2
achubaty/grainscape,CODE,0,2012-05,9
achubaty/grainscape,CODE,0,2012-08,2
achubaty/grainscape,CODE,0,2012-09,1
achubaty/grainscape,CODE,0,2013-01,8
achubaty/grainscape,CODE,0,2013-07,3
achubaty/grainscape,CODE,0,2014-01,1
achubaty/grainscape,CODE,0,2016-07,28
achubaty/grainscape,NON_CODE,0,2016-07,26
achubaty/grainscape,CODE,0,2016-08,70
achubaty/grainscape,NON_CODE,0,2016-08,4
achubaty/grainscape,CODE,0,2016-10,42
achubaty/grainscape,NON_CODE,0,2016-10,78
achubaty/grainscape,CODE,0,2016-11,1
achubaty/grainscape,NON_CODE,0,2016-11,4
achubaty/grainscape,CODE,0,2016-12,6
achubaty/grainscape,NON_CODE,0,2016-12,15
achubaty/grainscape,NON_CODE,0,2017-02,3
achubaty/grainscape,CODE,0,2017-03,28
achubaty/grainscape,NON_CODE,0,2017-03,20
achubaty/grainscape,CODE,0,2017-06,9
achubaty/grainscape,NON_CODE,0,2017-06,1
achubaty/grainscape,CODE,0,2017-07,81
achubaty/grainscape,NON_CODE,0,2017-07,77
achubaty/grainscape,CODE,0,2017-08,4
achubaty/grainscape,NON_CODE,0,2017-09,2
achubaty/grainscape,NON_CODE,0,2017-10,1
achubaty/grainscape,NON_CODE,0,2017-11,1
achubaty/grainscape,CODE,0,2018-09,18
achubaty/grainscape,NON_CODE,0,2018-09,1
achubaty/grainscape,CODE,0,2018-10,6
achubaty/grainscape,NON_CODE,0,2018-10,4
achubaty/grainscape,CODE,0,2019-05,1
achubaty/grainscape,CODE,0,2019-06,27
achubaty/grainscape,CODE,0,2019-07,14
achubaty/grainscape,CODE,0,2019-08,68
achubaty/grainscape,NON_CODE,0,2019-08,6
achubaty/grainscape,CODE,0,2019-10,7
achubaty/grainscape,CODE,0,2019-11,2
achubaty/grainscape,NON_CODE,0,2019-11,3
achubaty/grainscape,CODE,0,2019-12,12
achubaty/grainscape,NON_CODE,0,2019-12,1
achubaty/grainscape,CODE,0,2020-01,3
achubaty/grainscape,CODE,0,2020-03,1
achubaty/grainscape,CODE,0,2020-04,4
achubaty/grainscape,NON_CODE,0,2020-04,5
achubaty/grainscape,CODE,0,2020-05,6
achubaty/grainscape,CODE,0,2020-06,1
achubaty/grainscape,CODE,0,2020-08,16
achubaty/grainscape,NON_CODE,0,2020-08,1
achubaty/grainscape,CODE,0,2020-09,7
achubaty/grainscape,NON_CODE,0,2021-05,3
adamspannbauer/lexrankr,CODE,0,2016-07,11
adamspannbauer/lexrankr,CODE,0,2016-08,1
adamspannbauer/lexrankr,CODE,0,2016-09,11
adamspannbauer/lexrankr,NON_CODE,0,2016-09,4
adamspannbauer/lexrankr,CODE,0,2016-10,27
adamspannbauer/lexrankr,CODE,0,2017-01,18
adamspannbauer/lexrankr,CODE,0,2017-03,23
adamspannbauer/lexrankr,CODE,0,2017-05,11
adamspannbauer/lexrankr,NON_CODE,0,2017-05,1
adamspannbauer/lexrankr,CODE,0,2017-11,11
adamspannbauer/lexrankr,NON_CODE,0,2017-11,13
adamspannbauer/lexrankr,CODE,0,2017-12,30
adamspannbauer/lexrankr,NON_CODE,0,2017-12,14
adamspannbauer/lexrankr,CODE,0,2018-01,2
adamspannbauer/lexrankr,NON_CODE,0,2018-02,4
